iter	Passed	Remaining
746	945	320
747	947	319
748	949	318
749	950	316
750	951	315
751	952	314
752	954	313
753	955	311
754	956	310
755	958	309
756	960	308
757	961	306
758	964	306
759	966	305
760	967	303
761	968	302
762	970	301
763	972	300
764	972	298
765	973	297
766	974	296
767	977	295
768	979	294
769	980	292
770	981	291
771	983	290
772	984	289
773	985	287
774	986	286
775	987	285
776	988	283
777	989	282
778	990	281
779	993	280
780	994	278
781	995	277
782	996	276
783	997	274
784	998	273
785	999	272
786	1000	270
787	1001	269
788	1003	268
789	1004	266
790	1004	265
791	1005	264
792	1008	263
793	1009	261
794	1010	260
795	1012	259
796	1013	258
797	1014	256
798	1015	255
799	1016	254
800	1017	252
801	1018	251
802	1019	250
803	1020	248
804	1022	247
805	1023	246
806	1024	245
807	1025	243
808	1026	242
809	1028	241
810	1029	239
811	1030	238
812	1031	237
813	1032	235
814	1033	234
815	1034	233
816	1034	231
817	1036	230
818	1038	229
819	1039	228
820	1041	227
821	1042	225
822	1043	224
823	1044	223
824	1045	221
825	1046	220
826	1047	219
827	1048	217
828	1049	216
829	1050	215
830	1053	214
831	1054	212
832	1055	211
833	1063	211
834	1064	210
835	1066	209
836	1067	207
837	1069	206
838	1070	205
839	1072	204
840	1073	202
841	1074	201
842	1076	200
843	1077	199
844	1078	197
845	1079	196
846	1083	195
847	1084	194
848	1085	193
849	1086	191
850	1088	190
851	1090	189
852	1091	188
853	1092	186
854	1093	185
855	1094	184
856	1096	183
857	1097	181
858	1098	180
859	1099	179
860	1100	177
861	1101	176
862	1103	175
863	1104	173
864	1105	172
865	1106	171
866	1107	169
867	1108	168
868	1109	167
869	1111	166
870	1112	164
871	1112	163
872	1113	162
873	1114	160
874	1115	159
875	1117	158
876	1119	156
877	1120	155
878	1121	154
879	1122	153
880	1123	151
881	1124	150
882	1126	149
883	1127	147
884	1128	146
885	1129	145
886	1130	144
887	1131	142
888	1132	141
889	1133	140
890	1134	138
891	1136	137
892	1136	136
893	1137	134
894	1138	133
895	1141	132
896	1142	131
897	1143	129
898	1145	128
899	1146	127
900	1147	126
901	1148	124
902	1149	123
903	1150	122
904	1151	120
905	1152	119
906	1153	118
907	1155	117
908	1156	115
909	1157	114
910	1159	113
911	1160	111
912	1161	110
913	1162	109
914	1163	108
915	1164	106
916	1165	105
